N_genres,f1_micro,precision_micro,recall_micro,f1_macro,precision_macro,recall_macro,f1_weighted,precision_weighted,recall_weighted,f1_samples,precision_samples,recall_samples
262,0.45727732772444246,0.4110599423415328,0.5152041295166588,0.07847971758694294,0.13814308541040052,0.08049372356057684,0.3891667672514065,0.3791500238218923,0.5152041295166588,0.4371130483204578,0.42185015086145505,0.564677583350605
272,0.45352862316665665,0.3950294537976228,0.5323656520105223,0.07861689705833004,0.1368287943992824,0.0826909339771944,0.3881339213543036,0.3686459702679284,0.5323656520105223,0.43333814632424267,0.4048431040207356,0.5816547061612851
282,0.45340161229021225,0.3950294537976228,0.5320157731668388,0.07617916381621127,0.13258604108457595,0.08012687400890929,0.38787883380858207,0.36840369050153315,0.5320157731668388,0.43316716112036274,0.4048431040207356,0.5810748644630224
292,0.4580580830113424,0.4108593575314899,0.5175084491175366,0.07037717704589279,0.12336937697460548,0.07289108550953623,0.3893670621471301,0.376903573203491,0.5175084491175366,0.4388495982901207,0.421184687632056,0.5679258639658437
302,0.45799148405857304,0.4108593575314899,0.5173384637041903,0.06959230146545534,0.12199351031689612,0.07207817377522913,0.38923916718982965,0.37677977211426833,0.5173384637041903,0.43880928210607983,0.421184687632056,0.5678298707777453
312,0.4594273365748244,0.42460555222688234,0.5004708097928436,0.06707764743046501,0.11385911094023587,0.06754629870370002,0.3890168804335515,0.38765544744954655,0.5004708097928436,0.43928495095502273,0.4351535221601011,0.5527793810815066
322,0.45937770095073466,0.42460555222688234,0.5003530242409979,0.0663511747146116,0.11262597977481814,0.0668147503422881,0.3889253255075846,0.3875642129361435,0.5003530242409979,0.4392513700509965,0.4351535221601011,0.5527337274174319
332,0.4593677751128973,0.42460555222688234,0.5003294737833004,0.06564026927124078,0.11141927284865939,0.06609887801719216,0.3889070196935251,0.3875459711864994,0.5003294737833004,0.43924534537391924,0.4351535221601011,0.552728104385493
342,0.4593479247239807,0.42460555222688234,0.5002823795180723,0.06517473544662204,0.11062906523980363,0.0656300916482759,0.3888704132345931,0.38750949283830793,0.5002823795180723,0.4392264708611175,0.4351535221601011,0.5526895464521983
352,0.4593479247239807,0.42460555222688234,0.5002823795180723,0.06517473544662204,0.11062906523980363,0.0656300916482759,0.3888704132345931,0.38750949283830793,0.5002823795180723,0.4392264708611175,0.4351535221601011,0.5526895464521983
